Mes,UsuariosNuevos,Estacion,Año
12,56,Invierno,1898
1,57,Invierno,1899
2,57,Invierno,1899
3,71,Primavera,1899
4,71,Primavera,1899
5,71,Primavera,1899
6,85,Verano,1899
7,85,Verano,1899
8,85,Verano,1899
9,71,Otoño,1899
10,71,Otoño,1899
11,71,Otoño,1899
12,57,Invierno,1899
1,58,Invierno,1900
2,58,Invierno,1900
3,72,Primavera,1900
4,72,Primavera,1900
5,72,Primavera,1900
6,87,Verano,1900
7,87,Verano,1900
8,87,Verano,1900
9,72,Otoño,1900
10,72,Otoño,1900
11,72,Otoño,1900
12,58,Invierno,1900
1,59,Invierno,1901
2,59,Invierno,1901
3,74,Primavera,1901
4,74,Primavera,1901
5,74,Primavera,1901
6,89,Verano,1901
7,89,Verano,1901
8,89,Verano,1901
9,74,Otoño,1901
10,74,Otoño,1901
11,74,Otoño,1901
12,59,Invierno,1901
1,60,Invierno,1902
2,60,Invierno,1902
3,75,Primavera,1902
4,75,Primavera,1902
5,75,Primavera,1902
6,90,Verano,1902
7,90,Verano,1902
8,90,Verano,1902
9,75,Otoño,1902
10,75,Otoño,1902
11,75,Otoño,1902
12,60,Invierno,1902
1,62,Invierno,1903
2,62,Invierno,1903
3,77,Primavera,1903
4,77,Primavera,1903
5,77,Primavera,1903
6,92,Verano,1903
7,92,Verano,1903
8,92,Verano,1903
9,77,Otoño,1903
10,77,Otoño,1903
11,77,Otoño,1903
12,62,Invierno,1903
1,63,Invierno,1904
2,63,Invierno,1904
3,78,Primavera,1904
4,78,Primavera,1904
5,78,Primavera,1904
6,94,Verano,1904
7,94,Verano,1904
8,94,Verano,1904
9,78,Otoño,1904
10,78,Otoño,1904
11,78,Otoño,1904
12,63,Invierno,1904
1,64,Invierno,1905
2,64,Invierno,1905
3,80,Primavera,1905
4,80,Primavera,1905
5,80,Primavera,1905
6,96,Verano,1905
7,96,Verano,1905
8,96,Verano,1905
9,80,Otoño,1905
10,80,Otoño,1905
11,80,Otoño,1905
12,64,Invierno,1905
1,65,Invierno,1906
2,65,Invierno,1906
3,82,Primavera,1906
4,82,Primavera,1906
5,82,Primavera,1906
6,98,Verano,1906
7,98,Verano,1906
8,98,Verano,1906
9,82,Otoño,1906
10,82,Otoño,1906
11,82,Otoño,1906
12,65,Invierno,1906
1,67,Invierno,1907
2,67,Invierno,1907
3,83,Primavera,1907
4,83,Primavera,1907
5,83,Primavera,1907
6,100,Verano,1907
7,100,Verano,1907
8,100,Verano,1907
9,83,Otoño,1907
10,83,Otoño,1907
11,83,Otoño,1907
12,67,Invierno,1907
1,68,Invierno,1908
2,68,Invierno,1908
3,85,Primavera,1908
4,85,Primavera,1908
5,85,Primavera,1908
6,102,Verano,1908
7,102,Verano,1908
8,102,Verano,1908
9,85,Otoño,1908
10,85,Otoño,1908
11,85,Otoño,1908
12,68,Invierno,1908
1,69,Invierno,1909
2,69,Invierno,1909
3,87,Primavera,1909
4,87,Primavera,1909
5,87,Primavera,1909
6,104,Verano,1909
7,104,Verano,1909
8,104,Verano,1909
9,87,Otoño,1909
10,87,Otoño,1909
11,87,Otoño,1909
12,69,Invierno,1909
1,71,Invierno,1910
2,71,Invierno,1910
3,88,Primavera,1910
4,88,Primavera,1910
5,88,Primavera,1910
6,106,Verano,1910
7,106,Verano,1910
8,106,Verano,1910
9,88,Otoño,1910
10,88,Otoño,1910
11,88,Otoño,1910
12,71,Invierno,1910
1,72,Invierno,1911
2,72,Invierno,1911
3,90,Primavera,1911
4,90,Primavera,1911
5,90,Primavera,1911
6,108,Verano,1911
7,108,Verano,1911
8,108,Verano,1911
9,90,Otoño,1911
10,90,Otoño,1911
11,90,Otoño,1911
12,72,Invierno,1911
1,74,Invierno,1912
2,74,Invierno,1912
3,92,Primavera,1912
4,92,Primavera,1912
5,92,Primavera,1912
6,110,Verano,1912
7,110,Verano,1912
8,110,Verano,1912
9,92,Otoño,1912
10,92,Otoño,1912
11,92,Otoño,1912
12,74,Invierno,1912
1,75,Invierno,1913
2,75,Invierno,1913
3,94,Primavera,1913
4,94,Primavera,1913
5,94,Primavera,1913
6,112,Verano,1913
7,112,Verano,1913
8,112,Verano,1913
9,94,Otoño,1913
10,94,Otoño,1913
11,94,Otoño,1913
12,75,Invierno,1913
1,76,Invierno,1914
2,76,Invierno,1914
3,96,Primavera,1914
4,96,Primavera,1914
5,96,Primavera,1914
6,115,Verano,1914
7,115,Verano,1914
8,115,Verano,1914
9,96,Otoño,1914
10,96,Otoño,1914
11,96,Otoño,1914
12,76,Invierno,1914
1,78,Invierno,1915
2,78,Invierno,1915
3,98,Primavera,1915
4,98,Primavera,1915
5,98,Primavera,1915
6,117,Verano,1915
7,117,Verano,1915
8,117,Verano,1915
9,98,Otoño,1915
10,98,Otoño,1915
11,98,Otoño,1915
12,78,Invierno,1915
1,80,Invierno,1916
2,80,Invierno,1916
3,99,Primavera,1916
4,99,Primavera,1916
5,99,Primavera,1916
6,119,Verano,1916
7,119,Verano,1916
8,119,Verano,1916
9,99,Otoño,1916
10,99,Otoño,1916
11,99,Otoño,1916
12,80,Invierno,1916
1,81,Invierno,1917
2,81,Invierno,1917
3,101,Primavera,1917
4,101,Primavera,1917
5,101,Primavera,1917
6,122,Verano,1917
7,122,Verano,1917
8,122,Verano,1917
9,101,Otoño,1917
10,101,Otoño,1917
11,101,Otoño,1917
12,81,Invierno,1917
1,83,Invierno,1918
2,83,Invierno,1918
3,103,Primavera,1918
4,103,Primavera,1918
5,103,Primavera,1918
6,124,Verano,1918
7,124,Verano,1918
8,124,Verano,1918
9,103,Otoño,1918
10,103,Otoño,1918
11,103,Otoño,1918
12,83,Invierno,1918
1,84,Invierno,1919
2,84,Invierno,1919
3,106,Primavera,1919
4,106,Primavera,1919
5,106,Primavera,1919
6,127,Verano,1919
7,127,Verano,1919
8,127,Verano,1919
9,106,Otoño,1919
10,106,Otoño,1919
11,106,Otoño,1919
12,84,Invierno,1919
1,86,Invierno,1920
2,86,Invierno,1920
3,108,Primavera,1920
4,108,Primavera,1920
5,108,Primavera,1920
6,129,Verano,1920
7,129,Verano,1920
8,129,Verano,1920
9,108,Otoño,1920
10,108,Otoño,1920
11,108,Otoño,1920
12,86,Invierno,1920
1,88,Invierno,1921
2,88,Invierno,1921
3,110,Primavera,1921
4,110,Primavera,1921
5,110,Primavera,1921
6,132,Verano,1921
7,132,Verano,1921
8,132,Verano,1921
9,110,Otoño,1921
10,110,Otoño,1921
11,110,Otoño,1921
12,88,Invierno,1921
1,90,Invierno,1922
2,90,Invierno,1922
3,112,Primavera,1922
4,112,Primavera,1922
5,112,Primavera,1922
6,134,Verano,1922
7,134,Verano,1922
8,134,Verano,1922
9,112,Otoño,1922
10,112,Otoño,1922
11,112,Otoño,1922
12,90,Invierno,1922
1,91,Invierno,1923
2,91,Invierno,1923
3,114,Primavera,1923
4,114,Primavera,1923
5,114,Primavera,1923
6,137,Verano,1923
7,137,Verano,1923
8,137,Verano,1923
9,114,Otoño,1923
10,114,Otoño,1923
11,114,Otoño,1923
12,91,Invierno,1923
1,93,Invierno,1924
2,93,Invierno,1924
3,117,Primavera,1924
4,117,Primavera,1924
5,117,Primavera,1924
6,140,Verano,1924
7,140,Verano,1924
8,140,Verano,1924
9,117,Otoño,1924
10,117,Otoño,1924
11,117,Otoño,1924
12,93,Invierno,1924
1,95,Invierno,1925
2,95,Invierno,1925
3,119,Primavera,1925
4,119,Primavera,1925
5,119,Primavera,1925
6,143,Verano,1925
7,143,Verano,1925
8,143,Verano,1925
9,119,Otoño,1925
10,119,Otoño,1925
11,119,Otoño,1925
12,95,Invierno,1925
1,97,Invierno,1926
2,97,Invierno,1926
3,121,Primavera,1926
4,121,Primavera,1926
5,121,Primavera,1926
6,145,Verano,1926
7,145,Verano,1926
8,145,Verano,1926
9,121,Otoño,1926
10,121,Otoño,1926
11,121,Otoño,1926
12,97,Invierno,1926
1,99,Invierno,1927
2,99,Invierno,1927
3,124,Primavera,1927
4,124,Primavera,1927
5,124,Primavera,1927
6,148,Verano,1927
7,148,Verano,1927
8,148,Verano,1927
9,124,Otoño,1927
10,124,Otoño,1927
11,124,Otoño,1927
12,99,Invierno,1927
1,101,Invierno,1928
2,101,Invierno,1928
3,126,Primavera,1928
4,126,Primavera,1928
5,126,Primavera,1928
6,151,Verano,1928
7,151,Verano,1928
8,151,Verano,1928
9,126,Otoño,1928
10,126,Otoño,1928
11,126,Otoño,1928
12,101,Invierno,1928
1,103,Invierno,1929
2,103,Invierno,1929
3,129,Primavera,1929
4,129,Primavera,1929
5,129,Primavera,1929
6,154,Verano,1929
7,154,Verano,1929
8,154,Verano,1929
9,129,Otoño,1929
10,129,Otoño,1929
11,129,Otoño,1929
12,103,Invierno,1929
1,105,Invierno,1930
2,105,Invierno,1930
3,131,Primavera,1930
4,131,Primavera,1930
5,131,Primavera,1930
6,157,Verano,1930
7,157,Verano,1930
8,157,Verano,1930
9,131,Otoño,1930
10,131,Otoño,1930
11,131,Otoño,1930
12,105,Invierno,1930
1,107,Invierno,1931
2,107,Invierno,1931
3,134,Primavera,1931
4,134,Primavera,1931
5,134,Primavera,1931
6,161,Verano,1931
7,161,Verano,1931
8,161,Verano,1931
9,134,Otoño,1931
10,134,Otoño,1931
11,134,Otoño,1931
12,107,Invierno,1931
1,109,Invierno,1932
2,109,Invierno,1932
3,137,Primavera,1932
4,137,Primavera,1932
5,137,Primavera,1932
6,164,Verano,1932
7,164,Verano,1932
8,164,Verano,1932
9,137,Otoño,1932
10,137,Otoño,1932
11,137,Otoño,1932
12,109,Invierno,1932
1,111,Invierno,1933
2,111,Invierno,1933
3,139,Primavera,1933
4,139,Primavera,1933
5,139,Primavera,1933
6,167,Verano,1933
7,167,Verano,1933
8,167,Verano,1933
9,139,Otoño,1933
10,139,Otoño,1933
11,139,Otoño,1933
12,111,Invierno,1933
1,114,Invierno,1934
2,114,Invierno,1934
3,142,Primavera,1934
4,142,Primavera,1934
5,142,Primavera,1934
6,170,Verano,1934
7,170,Verano,1934
8,170,Verano,1934
9,142,Otoño,1934
10,142,Otoño,1934
11,142,Otoño,1934
12,114,Invierno,1934
1,116,Invierno,1935
2,116,Invierno,1935
3,145,Primavera,1935
4,145,Primavera,1935
5,145,Primavera,1935
6,174,Verano,1935
7,174,Verano,1935
8,174,Verano,1935
9,145,Otoño,1935
10,145,Otoño,1935
11,145,Otoño,1935
12,116,Invierno,1935
1,118,Invierno,1936
2,118,Invierno,1936
3,148,Primavera,1936
4,148,Primavera,1936
5,148,Primavera,1936
6,177,Verano,1936
7,177,Verano,1936
8,177,Verano,1936
9,148,Otoño,1936
10,148,Otoño,1936
11,148,Otoño,1936
12,118,Invierno,1936
1,121,Invierno,1937
2,121,Invierno,1937
3,151,Primavera,1937
4,151,Primavera,1937
5,151,Primavera,1937
6,181,Verano,1937
7,181,Verano,1937
8,181,Verano,1937
9,151,Otoño,1937
10,151,Otoño,1937
11,151,Otoño,1937
12,121,Invierno,1937
1,123,Invierno,1938
2,123,Invierno,1938
3,154,Primavera,1938
4,154,Primavera,1938
5,154,Primavera,1938
6,185,Verano,1938
7,185,Verano,1938
8,185,Verano,1938
9,154,Otoño,1938
10,154,Otoño,1938
11,154,Otoño,1938
12,123,Invierno,1938
1,125,Invierno,1939
2,125,Invierno,1939
3,157,Primavera,1939
4,157,Primavera,1939
5,157,Primavera,1939
6,188,Verano,1939
7,188,Verano,1939
8,188,Verano,1939
9,157,Otoño,1939
10,157,Otoño,1939
11,157,Otoño,1939
12,125,Invierno,1939
1,128,Invierno,1940
2,128,Invierno,1940
3,160,Primavera,1940
4,160,Primavera,1940
5,160,Primavera,1940
6,192,Verano,1940
7,192,Verano,1940
8,192,Verano,1940
9,160,Otoño,1940
10,160,Otoño,1940
11,160,Otoño,1940
12,128,Invierno,1940
1,131,Invierno,1941
2,131,Invierno,1941
3,163,Primavera,1941
4,163,Primavera,1941
5,163,Primavera,1941
6,196,Verano,1941
7,196,Verano,1941
8,196,Verano,1941
9,163,Otoño,1941
10,163,Otoño,1941
11,163,Otoño,1941
12,131,Invierno,1941
1,133,Invierno,1942
2,133,Invierno,1942
3,166,Primavera,1942
4,166,Primavera,1942
5,166,Primavera,1942
6,200,Verano,1942
7,200,Verano,1942
8,200,Verano,1942
9,166,Otoño,1942
10,166,Otoño,1942
11,166,Otoño,1942
12,133,Invierno,1942
1,136,Invierno,1943
2,136,Invierno,1943
3,170,Primavera,1943
4,170,Primavera,1943
5,170,Primavera,1943
6,204,Verano,1943
7,204,Verano,1943
8,204,Verano,1943
9,170,Otoño,1943
10,170,Otoño,1943
11,170,Otoño,1943
12,136,Invierno,1943
1,139,Invierno,1944
2,139,Invierno,1944
3,173,Primavera,1944
4,173,Primavera,1944
5,173,Primavera,1944
6,208,Verano,1944
7,208,Verano,1944
8,208,Verano,1944
9,173,Otoño,1944
10,173,Otoño,1944
11,173,Otoño,1944
12,139,Invierno,1944
1,141,Invierno,1945
2,141,Invierno,1945
3,177,Primavera,1945
4,177,Primavera,1945
5,177,Primavera,1945
6,212,Verano,1945
7,212,Verano,1945
8,212,Verano,1945
9,177,Otoño,1945
10,177,Otoño,1945
11,177,Otoño,1945
12,141,Invierno,1945
1,144,Invierno,1946
2,144,Invierno,1946
3,180,Primavera,1946
4,180,Primavera,1946
5,180,Primavera,1946
6,216,Verano,1946
7,216,Verano,1946
8,216,Verano,1946
9,180,Otoño,1946
10,180,Otoño,1946
11,180,Otoño,1946
12,144,Invierno,1946
1,147,Invierno,1947
2,147,Invierno,1947
3,184,Primavera,1947
4,184,Primavera,1947
5,184,Primavera,1947
6,220,Verano,1947
7,220,Verano,1947
8,220,Verano,1947
9,184,Otoño,1947
10,184,Otoño,1947
11,184,Otoño,1947
12,147,Invierno,1947
1,150,Invierno,1948
2,150,Invierno,1948
3,187,Primavera,1948
4,187,Primavera,1948
5,187,Primavera,1948
6,225,Verano,1948
7,225,Verano,1948
8,225,Verano,1948
9,187,Otoño,1948
10,187,Otoño,1948
11,187,Otoño,1948
12,150,Invierno,1948
1,153,Invierno,1949
2,153,Invierno,1949
3,191,Primavera,1949
4,191,Primavera,1949
5,191,Primavera,1949
6,229,Verano,1949
7,229,Verano,1949
8,229,Verano,1949
9,191,Otoño,1949
10,191,Otoño,1949
11,191,Otoño,1949
12,153,Invierno,1949
1,156,Invierno,1950
2,156,Invierno,1950
3,195,Primavera,1950
4,195,Primavera,1950
5,195,Primavera,1950
6,234,Verano,1950
7,234,Verano,1950
8,234,Verano,1950
9,195,Otoño,1950
10,195,Otoño,1950
11,195,Otoño,1950
12,156,Invierno,1950
1,159,Invierno,1951
2,159,Invierno,1951
3,199,Primavera,1951
4,199,Primavera,1951
5,199,Primavera,1951
6,239,Verano,1951
7,239,Verano,1951
8,239,Verano,1951
9,199,Otoño,1951
10,199,Otoño,1951
11,199,Otoño,1951
12,159,Invierno,1951
1,162,Invierno,1952
2,162,Invierno,1952
3,203,Primavera,1952
4,203,Primavera,1952
5,203,Primavera,1952
6,243,Verano,1952
7,243,Verano,1952
8,243,Verano,1952
9,203,Otoño,1952
10,203,Otoño,1952
11,203,Otoño,1952
12,162,Invierno,1952
1,166,Invierno,1953
2,166,Invierno,1953
3,207,Primavera,1953
4,207,Primavera,1953
5,207,Primavera,1953
6,248,Verano,1953
7,248,Verano,1953
8,248,Verano,1953
9,207,Otoño,1953
10,207,Otoño,1953
11,207,Otoño,1953
12,166,Invierno,1953
1,169,Invierno,1954
2,169,Invierno,1954
3,211,Primavera,1954
4,211,Primavera,1954
5,211,Primavera,1954
6,253,Verano,1954
7,253,Verano,1954
8,253,Verano,1954
9,211,Otoño,1954
10,211,Otoño,1954
11,211,Otoño,1954
12,169,Invierno,1954
1,172,Invierno,1955
2,172,Invierno,1955
3,215,Primavera,1955
4,215,Primavera,1955
5,215,Primavera,1955
6,258,Verano,1955
7,258,Verano,1955
8,258,Verano,1955
9,215,Otoño,1955
10,215,Otoño,1955
11,215,Otoño,1955
12,172,Invierno,1955
1,176,Invierno,1956
2,176,Invierno,1956
3,220,Primavera,1956
4,220,Primavera,1956
5,220,Primavera,1956
6,264,Verano,1956
7,264,Verano,1956
8,264,Verano,1956
9,220,Otoño,1956
10,220,Otoño,1956
11,220,Otoño,1956
12,176,Invierno,1956
1,179,Invierno,1957
2,179,Invierno,1957
3,224,Primavera,1957
4,224,Primavera,1957
5,224,Primavera,1957
6,269,Verano,1957
7,269,Verano,1957
8,269,Verano,1957
9,224,Otoño,1957
10,224,Otoño,1957
11,224,Otoño,1957
12,179,Invierno,1957
1,183,Invierno,1958
2,183,Invierno,1958
3,228,Primavera,1958
4,228,Primavera,1958
5,228,Primavera,1958
6,274,Verano,1958
7,274,Verano,1958
8,274,Verano,1958
9,228,Otoño,1958
10,228,Otoño,1958
11,228,Otoño,1958
12,183,Invierno,1958
1,186,Invierno,1959
2,186,Invierno,1959
3,233,Primavera,1959
4,233,Primavera,1959
5,233,Primavera,1959
6,280,Verano,1959
7,280,Verano,1959
8,280,Verano,1959
9,233,Otoño,1959
10,233,Otoño,1959
11,233,Otoño,1959
12,186,Invierno,1959
1,190,Invierno,1960
2,190,Invierno,1960
3,238,Primavera,1960
4,238,Primavera,1960
5,238,Primavera,1960
6,285,Verano,1960
7,285,Verano,1960
8,285,Verano,1960
9,238,Otoño,1960
10,238,Otoño,1960
11,238,Otoño,1960
12,190,Invierno,1960
1,194,Invierno,1961
2,194,Invierno,1961
3,242,Primavera,1961
4,242,Primavera,1961
5,242,Primavera,1961
6,291,Verano,1961
7,291,Verano,1961
8,291,Verano,1961
9,242,Otoño,1961
10,242,Otoño,1961
11,242,Otoño,1961
12,194,Invierno,1961
1,198,Invierno,1962
2,198,Invierno,1962
3,247,Primavera,1962
4,247,Primavera,1962
5,247,Primavera,1962
6,297,Verano,1962
7,297,Verano,1962
8,297,Verano,1962
9,247,Otoño,1962
10,247,Otoño,1962
11,247,Otoño,1962
12,198,Invierno,1962
1,202,Invierno,1963
2,202,Invierno,1963
3,252,Primavera,1963
4,252,Primavera,1963
5,252,Primavera,1963
6,303,Verano,1963
7,303,Verano,1963
8,303,Verano,1963
9,252,Otoño,1963
10,252,Otoño,1963
11,252,Otoño,1963
12,202,Invierno,1963
1,206,Invierno,1964
2,206,Invierno,1964
3,257,Primavera,1964
4,257,Primavera,1964
5,257,Primavera,1964
6,309,Verano,1964
7,309,Verano,1964
8,309,Verano,1964
9,257,Otoño,1964
10,257,Otoño,1964
11,257,Otoño,1964
12,206,Invierno,1964
1,210,Invierno,1965
2,210,Invierno,1965
3,262,Primavera,1965
4,262,Primavera,1965
5,262,Primavera,1965
6,315,Verano,1965
7,315,Verano,1965
8,315,Verano,1965
9,262,Otoño,1965
10,262,Otoño,1965
11,262,Otoño,1965
12,210,Invierno,1965
1,214,Invierno,1966
2,214,Invierno,1966
3,268,Primavera,1966
4,268,Primavera,1966
5,268,Primavera,1966
6,321,Verano,1966
7,321,Verano,1966
8,321,Verano,1966
9,268,Otoño,1966
10,268,Otoño,1966
11,268,Otoño,1966
12,214,Invierno,1966
1,218,Invierno,1967
2,218,Invierno,1967
3,273,Primavera,1967
4,273,Primavera,1967
5,273,Primavera,1967
6,328,Verano,1967
7,328,Verano,1967
8,328,Verano,1967
9,273,Otoño,1967
10,273,Otoño,1967
11,273,Otoño,1967
12,218,Invierno,1967
1,223,Invierno,1968
2,223,Invierno,1968
3,279,Primavera,1968
4,279,Primavera,1968
5,279,Primavera,1968
6,334,Verano,1968
7,334,Verano,1968
8,334,Verano,1968
9,279,Otoño,1968
10,279,Otoño,1968
11,279,Otoño,1968
12,223,Invierno,1968
1,227,Invierno,1969
2,227,Invierno,1969
3,284,Primavera,1969
4,284,Primavera,1969
5,284,Primavera,1969
6,341,Verano,1969
7,341,Verano,1969
8,341,Verano,1969
9,284,Otoño,1969
10,284,Otoño,1969
11,284,Otoño,1969
12,227,Invierno,1969
1,232,Invierno,1970
2,232,Invierno,1970
3,290,Primavera,1970
4,290,Primavera,1970
5,290,Primavera,1970
6,348,Verano,1970
7,348,Verano,1970
8,348,Verano,1970
9,290,Otoño,1970
10,290,Otoño,1970
11,290,Otoño,1970
12,232,Invierno,1970
1,236,Invierno,1971
2,236,Invierno,1971
3,296,Primavera,1971
4,296,Primavera,1971
5,296,Primavera,1971
6,355,Verano,1971
7,355,Verano,1971
8,355,Verano,1971
9,296,Otoño,1971
10,296,Otoño,1971
11,296,Otoño,1971
12,236,Invierno,1971
1,241,Invierno,1972
2,241,Invierno,1972
3,301,Primavera,1972
4,301,Primavera,1972
5,301,Primavera,1972
6,362,Verano,1972
7,362,Verano,1972
8,362,Verano,1972
9,301,Otoño,1972
10,301,Otoño,1972
11,301,Otoño,1972
12,241,Invierno,1972
1,246,Invierno,1973
2,246,Invierno,1973
3,307,Primavera,1973
4,307,Primavera,1973
5,307,Primavera,1973
6,369,Verano,1973
7,369,Verano,1973
8,369,Verano,1973
9,307,Otoño,1973
10,307,Otoño,1973
11,307,Otoño,1973
12,246,Invierno,1973
1,251,Invierno,1974
2,251,Invierno,1974
3,314,Primavera,1974
4,314,Primavera,1974
5,314,Primavera,1974
6,376,Verano,1974
7,376,Verano,1974
8,376,Verano,1974
9,314,Otoño,1974
10,314,Otoño,1974
11,314,Otoño,1974
12,251,Invierno,1974
1,256,Invierno,1975
2,256,Invierno,1975
3,320,Primavera,1975
4,320,Primavera,1975
5,320,Primavera,1975
6,384,Verano,1975
7,384,Verano,1975
8,384,Verano,1975
9,320,Otoño,1975
10,320,Otoño,1975
11,320,Otoño,1975
12,256,Invierno,1975
1,261,Invierno,1976
2,261,Invierno,1976
3,326,Primavera,1976
4,326,Primavera,1976
5,326,Primavera,1976
6,392,Verano,1976
7,392,Verano,1976
8,392,Verano,1976
9,326,Otoño,1976
10,326,Otoño,1976
11,326,Otoño,1976
12,261,Invierno,1976
1,266,Invierno,1977
2,266,Invierno,1977
3,333,Primavera,1977
4,333,Primavera,1977
5,333,Primavera,1977
6,399,Verano,1977
7,399,Verano,1977
8,399,Verano,1977
9,333,Otoño,1977
10,333,Otoño,1977
11,333,Otoño,1977
12,266,Invierno,1977
1,272,Invierno,1978
2,272,Invierno,1978
3,339,Primavera,1978
4,339,Primavera,1978
5,339,Primavera,1978
6,407,Verano,1978
7,407,Verano,1978
8,407,Verano,1978
9,339,Otoño,1978
10,339,Otoño,1978
11,339,Otoño,1978
12,272,Invierno,1978
1,277,Invierno,1979
2,277,Invierno,1979
3,346,Primavera,1979
4,346,Primavera,1979
5,346,Primavera,1979
6,416,Verano,1979
7,416,Verano,1979
8,416,Verano,1979
9,346,Otoño,1979
10,346,Otoño,1979
11,346,Otoño,1979
12,277,Invierno,1979
1,283,Invierno,1980
2,283,Invierno,1980
3,353,Primavera,1980
4,353,Primavera,1980
5,353,Primavera,1980
6,424,Verano,1980
7,424,Verano,1980
8,424,Verano,1980
9,353,Otoño,1980
10,353,Otoño,1980
11,353,Otoño,1980
12,283,Invierno,1980
1,288,Invierno,1981
2,288,Invierno,1981
3,360,Primavera,1981
4,360,Primavera,1981
5,360,Primavera,1981
6,432,Verano,1981
7,432,Verano,1981
8,432,Verano,1981
9,360,Otoño,1981
10,360,Otoño,1981
11,360,Otoño,1981
12,288,Invierno,1981
1,294,Invierno,1982
2,294,Invierno,1982
3,367,Primavera,1982
4,367,Primavera,1982
5,367,Primavera,1982
6,441,Verano,1982
7,441,Verano,1982
8,441,Verano,1982
9,367,Otoño,1982
10,367,Otoño,1982
11,367,Otoño,1982
12,294,Invierno,1982
1,300,Invierno,1983
2,300,Invierno,1983
3,375,Primavera,1983
4,375,Primavera,1983
5,375,Primavera,1983
6,450,Verano,1983
7,450,Verano,1983
8,450,Verano,1983
9,375,Otoño,1983
10,375,Otoño,1983
11,375,Otoño,1983
12,300,Invierno,1983
1,306,Invierno,1984
2,306,Invierno,1984
3,382,Primavera,1984
4,382,Primavera,1984
5,382,Primavera,1984
6,459,Verano,1984
7,459,Verano,1984
8,459,Verano,1984
9,382,Otoño,1984
10,382,Otoño,1984
11,382,Otoño,1984
12,306,Invierno,1984
1,312,Invierno,1985
2,312,Invierno,1985
3,390,Primavera,1985
4,390,Primavera,1985
5,390,Primavera,1985
6,468,Verano,1985
7,468,Verano,1985
8,468,Verano,1985
9,390,Otoño,1985
10,390,Otoño,1985
11,390,Otoño,1985
12,312,Invierno,1985
1,318,Invierno,1986
2,318,Invierno,1986
3,398,Primavera,1986
4,398,Primavera,1986
5,398,Primavera,1986
6,477,Verano,1986
7,477,Verano,1986
8,477,Verano,1986
9,398,Otoño,1986
10,398,Otoño,1986
11,398,Otoño,1986
12,318,Invierno,1986
1,325,Invierno,1987
2,325,Invierno,1987
3,406,Primavera,1987
4,406,Primavera,1987
5,406,Primavera,1987
6,487,Verano,1987
7,487,Verano,1987
8,487,Verano,1987
9,406,Otoño,1987
10,406,Otoño,1987
11,406,Otoño,1987
12,325,Invierno,1987
1,331,Invierno,1988
2,331,Invierno,1988
3,414,Primavera,1988
4,414,Primavera,1988
5,414,Primavera,1988
6,497,Verano,1988
7,497,Verano,1988
8,497,Verano,1988
9,414,Otoño,1988
10,414,Otoño,1988
11,414,Otoño,1988
12,331,Invierno,1988
1,338,Invierno,1989
2,338,Invierno,1989
3,422,Primavera,1989
4,422,Primavera,1989
5,422,Primavera,1989
6,507,Verano,1989
7,507,Verano,1989
8,507,Verano,1989
9,422,Otoño,1989
10,422,Otoño,1989
11,422,Otoño,1989
12,338,Invierno,1989
1,344,Invierno,1990
2,344,Invierno,1990
3,431,Primavera,1990
4,431,Primavera,1990
5,431,Primavera,1990
6,517,Verano,1990
7,517,Verano,1990
8,517,Verano,1990
9,431,Otoño,1990
10,431,Otoño,1990
11,431,Otoño,1990
12,344,Invierno,1990
1,351,Invierno,1991
2,351,Invierno,1991
3,439,Primavera,1991
4,439,Primavera,1991
5,439,Primavera,1991
6,527,Verano,1991
7,527,Verano,1991
8,527,Verano,1991
9,439,Otoño,1991
10,439,Otoño,1991
11,439,Otoño,1991
12,351,Invierno,1991
1,358,Invierno,1992
2,358,Invierno,1992
3,448,Primavera,1992
4,448,Primavera,1992
5,448,Primavera,1992
6,538,Verano,1992
7,538,Verano,1992
8,538,Verano,1992
9,448,Otoño,1992
10,448,Otoño,1992
11,448,Otoño,1992
12,358,Invierno,1992
1,366,Invierno,1993
2,366,Invierno,1993
3,457,Primavera,1993
4,457,Primavera,1993
5,457,Primavera,1993
6,548,Verano,1993
7,548,Verano,1993
8,548,Verano,1993
9,457,Otoño,1993
10,457,Otoño,1993
11,457,Otoño,1993
12,366,Invierno,1993
1,373,Invierno,1994
2,373,Invierno,1994
3,466,Primavera,1994
4,466,Primavera,1994
5,466,Primavera,1994
6,559,Verano,1994
7,559,Verano,1994
8,559,Verano,1994
9,466,Otoño,1994
10,466,Otoño,1994
11,466,Otoño,1994
12,373,Invierno,1994
1,380,Invierno,1995
2,380,Invierno,1995
3,475,Primavera,1995
4,475,Primavera,1995
5,475,Primavera,1995
6,570,Verano,1995
7,570,Verano,1995
8,570,Verano,1995
9,475,Otoño,1995
10,475,Otoño,1995
11,475,Otoño,1995
12,380,Invierno,1995
1,388,Invierno,1996
2,388,Invierno,1996
3,485,Primavera,1996
4,485,Primavera,1996
5,485,Primavera,1996
6,582,Verano,1996
7,582,Verano,1996
8,582,Verano,1996
9,485,Otoño,1996
10,485,Otoño,1996
11,485,Otoño,1996
12,388,Invierno,1996
1,396,Invierno,1997
2,396,Invierno,1997
3,495,Primavera,1997
4,495,Primavera,1997
5,495,Primavera,1997
6,593,Verano,1997
7,593,Verano,1997
8,593,Verano,1997
9,495,Otoño,1997
10,495,Otoño,1997
11,495,Otoño,1997
12,396,Invierno,1997
